  1.00000000000000002E-003
  2.00000000000000004E-003         501
   0.1804744340   0.0000000000   0.0000000000
   0.1804245696   0.0000000000   0.0000000000
   0.1803746494   0.0000000000   0.0000000000
   0.1803246730   0.0000000000   0.0000000000
   0.1802746403   0.0000000000   0.0000000000
   0.1802245510   0.0000000000   0.0000000000
   0.1801744050   0.0000000000   0.0000000000
   0.1801242018   0.0000000000   0.0000000000
   0.1800739415   0.0000000000   0.0000000000
   0.1800236236   0.0000000000   0.0000000000
   0.1799732479   0.0000000000   0.0000000000
   0.1799228142   0.0000000000   0.0000000000
   0.1798723222   0.0000000000   0.0000000000
   0.1798217718   0.0000000000   0.0000000000
   0.1797711625   0.0000000000   0.0000000000
   0.1797204942   0.0000000000   0.0000000000
   0.1796697666   0.0000000000   0.0000000000
   0.1796189795   0.0000000000   0.0000000000
   0.1795681325   0.0000000000   0.0000000000
   0.1795172255   0.0000000000   0.0000000000
   0.1794662582   0.0000000000   0.0000000000
   0.1794152302   0.0000000000   0.0000000000
   0.1793641413   0.0000000000   0.0000000000
   0.1793129913   0.0000000000   0.0000000000
   0.1792617798   0.0000000000   0.0000000000
   0.1792105066   0.0000000000   0.0000000000
   0.1791591715   0.0000000000   0.0000000000
   0.1791077740   0.0000000000   0.0000000000
   0.1790563140   0.0000000000   0.0000000000
   0.1790047911   0.0000000000   0.0000000000
   0.1789532051   0.0000000000   0.0000000000
   0.1789015556   0.0000000000   0.0000000000
   0.1788498424   0.0000000000   0.0000000000
   0.1787980651   0.0000000000   0.0000000000
   0.1787462236   0.0000000000   0.0000000000
   0.1786943173   0.0000000000   0.0000000000
   0.1786423461   0.0000000000   0.0000000000
   0.1785903096   0.0000000000   0.0000000000
   0.1785382076   0.0000000000   0.0000000000
   0.1784860396   0.0000000000   0.0000000000
   0.1784338054   0.0000000000   0.0000000000
   0.1783815047   0.0000000000   0.0000000000
   0.1783291371   0.0000000000   0.0000000000
   0.1782767024   0.0000000000   0.0000000000
   0.1782242000   0.0000000000   0.0000000000
   0.1781716299   0.0000000000   0.0000000000
   0.1781189915   0.0000000000   0.0000000000
   0.1780662846   0.0000000000   0.0000000000
   0.1780135088   0.0000000000   0.0000000000
   0.1779606638   0.0000000000   0.0000000000
   0.1779077492   0.0000000000   0.0000000000
   0.1778547646   0.0000000000   0.0000000000
   0.1778017097   0.0000000000   0.0000000000
   0.1777485842   0.0000000000   0.0000000000
   0.1776953876   0.0000000000   0.0000000000
   0.1776421197   0.0000000000   0.0000000000
   0.1775887800   0.0000000000   0.0000000000
   0.1775353681   0.0000000000   0.0000000000
   0.1774818837   0.0000000000   0.0000000000
   0.1774283264   0.0000000000   0.0000000000
   0.1773746958   0.0000000000   0.0000000000
   0.1773209916   0.0000000000   0.0000000000
   0.1772672132   0.0000000000   0.0000000000
   0.1772133603   0.0000000000   0.0000000000
   0.1771594326   0.0000000000   0.0000000000
   0.1771054296   0.0000000000   0.0000000000
   0.1770513508   0.0000000000   0.0000000000
   0.1769971959   0.0000000000   0.0000000000
   0.1769429645   0.0000000000   0.0000000000
   0.1768886561   0.0000000000   0.0000000000
   0.1768342703   0.0000000000   0.0000000000
   0.1767798067   0.0000000000   0.0000000000
   0.1767252648   0.0000000000   0.0000000000
   0.1766706442   0.0000000000   0.0000000000
   0.1766159444   0.0000000000   0.0000000000
   0.1765611649   0.0000000000   0.0000000000
   0.1765063054   0.0000000000   0.0000000000
   0.1764513654   0.0000000000   0.0000000000
   0.1763963444   0.0000000000   0.0000000000
   0.1763412419   0.0000000000   0.0000000000
   0.1762860573   0.0000000000   0.0000000000
   0.1762307904   0.0000000000   0.0000000000
   0.1761754405   0.0000000000   0.0000000000
   0.1761200073   0.0000000000   0.0000000000
   0.1760644900   0.0000000000   0.0000000000
   0.1760088884   0.0000000000   0.0000000000
   0.1759532018   0.0000000000   0.0000000000
   0.1758974297   0.0000000000   0.0000000000
   0.1758415717   0.0000000000   0.0000000000
   0.1757856271   0.0000000000   0.0000000000
   0.1757295955   0.0000000000   0.0000000000
   0.1756734763   0.0000000000   0.0000000000
   0.1756172689   0.0000000000   0.0000000000
   0.1755609729   0.0000000000   0.0000000000
   0.1755045876   0.0000000000   0.0000000000
   0.1754481125   0.0000000000   0.0000000000
   0.1753915470   0.0000000000   0.0000000000
   0.1753348905   0.0000000000   0.0000000000
   0.1752781425   0.0000000000   0.0000000000
   0.1752213023   0.0000000000   0.0000000000
   0.1751643694   0.0000000000   0.0000000000
   0.1751073431   0.0000000000   0.0000000000
   0.1750502228   0.0000000000   0.0000000000
   0.1749930079   0.0000000000   0.0000000000
   0.1749356978   0.0000000000   0.0000000000
   0.1748782918   0.0000000000   0.0000000000
   0.1748207892   0.0000000000   0.0000000000
   0.1747631896   0.0000000000   0.0000000000
   0.1747054920   0.0000000000   0.0000000000
