   11.000999999999999     
  0.10000000000000001              501
   0.4301188621   0.0000000000   0.0000000000
   0.4299468559   0.0000000000   0.0000000000
   0.4297746402   0.0000000000   0.0000000000
   0.4296022147   0.0000000000   0.0000000000
   0.4294295781   0.0000000000   0.0000000000
   0.4292567306   0.0000000000   0.0000000000
   0.4290836712   0.0000000000   0.0000000000
   0.4289103992   0.0000000000   0.0000000000
   0.4287369142   0.0000000000   0.0000000000
   0.4285632155   0.0000000000   0.0000000000
   0.4283893024   0.0000000000   0.0000000000
   0.4282151745   0.0000000000   0.0000000000
   0.4280408309   0.0000000000   0.0000000000
   0.4278662712   0.0000000000   0.0000000000
   0.4276914946   0.0000000000   0.0000000000
   0.4275165008   0.0000000000   0.0000000000
   0.4273412887   0.0000000000   0.0000000000
   0.4271658580   0.0000000000   0.0000000000
   0.4269902078   0.0000000000   0.0000000000
   0.4268143379   0.0000000000   0.0000000000
   0.4266382472   0.0000000000   0.0000000000
   0.4264619352   0.0000000000   0.0000000000
   0.4262854014   0.0000000000   0.0000000000
   0.4261086450   0.0000000000   0.0000000000
   0.4259316653   0.0000000000   0.0000000000
   0.4257544615   0.0000000000   0.0000000000
   0.4255770334   0.0000000000   0.0000000000
   0.4253993801   0.0000000000   0.0000000000
   0.4252215008   0.0000000000   0.0000000000
   0.4250433950   0.0000000000   0.0000000000
   0.4248650620   0.0000000000   0.0000000000
   0.4246865010   0.0000000000   0.0000000000
   0.4245077113   0.0000000000   0.0000000000
   0.4243286925   0.0000000000   0.0000000000
   0.4241494438   0.0000000000   0.0000000000
   0.4239699642   0.0000000000   0.0000000000
   0.4237902532   0.0000000000   0.0000000000
   0.4236103104   0.0000000000   0.0000000000
   0.4234301348   0.0000000000   0.0000000000
   0.4232497255   0.0000000000   0.0000000000
   0.4230690823   0.0000000000   0.0000000000
   0.4228882041   0.0000000000   0.0000000000
   0.4227070903   0.0000000000   0.0000000000
   0.4225257402   0.0000000000   0.0000000000
   0.4223441532   0.0000000000   0.0000000000
   0.4221623283   0.0000000000   0.0000000000
   0.4219802650   0.0000000000   0.0000000000
   0.4217979624   0.0000000000   0.0000000000
   0.4216154199   0.0000000000   0.0000000000
   0.4214326366   0.0000000000   0.0000000000
   0.4212496121   0.0000000000   0.0000000000
   0.4210663452   0.0000000000   0.0000000000
   0.4208828355   0.0000000000   0.0000000000
   0.4206990821   0.0000000000   0.0000000000
   0.4205150841   0.0000000000   0.0000000000
   0.4203308411   0.0000000000   0.0000000000
   0.4201463522   0.0000000000   0.0000000000
   0.4199616164   0.0000000000   0.0000000000
   0.4197766330   0.0000000000   0.0000000000
   0.4195914015   0.0000000000   0.0000000000
   0.4194059209   0.0000000000   0.0000000000
   0.4192201905   0.0000000000   0.0000000000
   0.4190342094   0.0000000000   0.0000000000
   0.4188479769   0.0000000000   0.0000000000
   0.4186614921   0.0000000000   0.0000000000
   0.4184747545   0.0000000000   0.0000000000
   0.4182877630   0.0000000000   0.0000000000
   0.4181005168   0.0000000000   0.0000000000
   0.4179130151   0.0000000000   0.0000000000
   0.4177252572   0.0000000000   0.0000000000
   0.4175372424   0.0000000000   0.0000000000
   0.4173489695   0.0000000000   0.0000000000
   0.4171604380   0.0000000000   0.0000000000
   0.4169716470   0.0000000000   0.0000000000
   0.4167825955   0.0000000000   0.0000000000
   0.4165932828   0.0000000000   0.0000000000
   0.4164037080   0.0000000000   0.0000000000
   0.4162138702   0.0000000000   0.0000000000
   0.4160237687   0.0000000000   0.0000000000
   0.4158334025   0.0000000000   0.0000000000
   0.4156427711   0.0000000000   0.0000000000
   0.4154518731   0.0000000000   0.0000000000
   0.4152607078   0.0000000000   0.0000000000
   0.4150692746   0.0000000000   0.0000000000
   0.4148775723   0.0000000000   0.0000000000
   0.4146856001   0.0000000000   0.0000000000
   0.4144933572   0.0000000000   0.0000000000
   0.4143008425   0.0000000000   0.0000000000
   0.4141080555   0.0000000000   0.0000000000
   0.4139149949   0.0000000000   0.0000000000
   0.4137216600   0.0000000000   0.0000000000
   0.4135280497   0.0000000000   0.0000000000
   0.4133341634   0.0000000000   0.0000000000
   0.4131399998   0.0000000000   0.0000000000
   0.4129455582   0.0000000000   0.0000000000
   0.4127508378   0.0000000000   0.0000000000
   0.4125558373   0.0000000000   0.0000000000
   0.4123605561   0.0000000000   0.0000000000
   0.4121649929   0.0000000000   0.0000000000
   0.4119691473   0.0000000000   0.0000000000
   0.4117730176   0.0000000000   0.0000000000
   0.4115766036   0.0000000000   0.0000000000
   0.4113799038   0.0000000000   0.0000000000
   0.4111829173   0.0000000000   0.0000000000
   0.4109856434   0.0000000000   0.0000000000
   0.4107880808   0.0000000000   0.0000000000
   0.4105902287   0.0000000000   0.0000000000
   0.4103920862   0.0000000000   0.0000000000
   0.4101936519   0.0000000000   0.0000000000
   0.4099949252   0.0000000000   0.0000000000
   0.4097959050   0.0000000000   0.0000000000
   0.4095965901   0.0000000000   0.0000000000
