   1.0009999999999999     
  2.00000000000000004E-002         501
   0.2818070073   0.0000000000   0.0000000000
   0.2816891836   0.0000000000   0.0000000000
   0.2815712118   0.0000000000   0.0000000000
   0.2814530914   0.0000000000   0.0000000000
   0.2813348219   0.0000000000   0.0000000000
   0.2812164031   0.0000000000   0.0000000000
   0.2810978343   0.0000000000   0.0000000000
   0.2809791152   0.0000000000   0.0000000000
   0.2808602453   0.0000000000   0.0000000000
   0.2807412242   0.0000000000   0.0000000000
   0.2806220516   0.0000000000   0.0000000000
   0.2805027268   0.0000000000   0.0000000000
   0.2803832495   0.0000000000   0.0000000000
   0.2802636193   0.0000000000   0.0000000000
   0.2801438355   0.0000000000   0.0000000000
   0.2800238980   0.0000000000   0.0000000000
   0.2799038061   0.0000000000   0.0000000000
   0.2797835596   0.0000000000   0.0000000000
   0.2796631576   0.0000000000   0.0000000000
   0.2795426001   0.0000000000   0.0000000000
   0.2794218864   0.0000000000   0.0000000000
   0.2793010160   0.0000000000   0.0000000000
   0.2791799887   0.0000000000   0.0000000000
   0.2790588036   0.0000000000   0.0000000000
   0.2789374606   0.0000000000   0.0000000000
   0.2788159592   0.0000000000   0.0000000000
   0.2786942988   0.0000000000   0.0000000000
   0.2785724788   0.0000000000   0.0000000000
   0.2784504990   0.0000000000   0.0000000000
   0.2783283588   0.0000000000   0.0000000000
   0.2782060577   0.0000000000   0.0000000000
   0.2780835952   0.0000000000   0.0000000000
   0.2779609709   0.0000000000   0.0000000000
   0.2778381842   0.0000000000   0.0000000000
   0.2777152348   0.0000000000   0.0000000000
   0.2775921219   0.0000000000   0.0000000000
   0.2774688452   0.0000000000   0.0000000000
   0.2773454043   0.0000000000   0.0000000000
   0.2772217984   0.0000000000   0.0000000000
   0.2770980272   0.0000000000   0.0000000000
   0.2769740901   0.0000000000   0.0000000000
   0.2768499868   0.0000000000   0.0000000000
   0.2767257166   0.0000000000   0.0000000000
   0.2766012789   0.0000000000   0.0000000000
   0.2764766735   0.0000000000   0.0000000000
   0.2763518997   0.0000000000   0.0000000000
   0.2762269568   0.0000000000   0.0000000000
   0.2761018445   0.0000000000   0.0000000000
   0.2759765623   0.0000000000   0.0000000000
   0.2758511094   0.0000000000   0.0000000000
   0.2757254856   0.0000000000   0.0000000000
   0.2755996903   0.0000000000   0.0000000000
   0.2754737227   0.0000000000   0.0000000000
   0.2753475826   0.0000000000   0.0000000000
   0.2752212694   0.0000000000   0.0000000000
   0.2750947823   0.0000000000   0.0000000000
   0.2749681209   0.0000000000   0.0000000000
   0.2748412848   0.0000000000   0.0000000000
   0.2747142732   0.0000000000   0.0000000000
   0.2745870857   0.0000000000   0.0000000000
   0.2744597217   0.0000000000   0.0000000000
   0.2743321808   0.0000000000   0.0000000000
   0.2742044621   0.0000000000   0.0000000000
   0.2740765653   0.0000000000   0.0000000000
   0.2739484896   0.0000000000   0.0000000000
   0.2738202348   0.0000000000   0.0000000000
   0.2736918000   0.0000000000   0.0000000000
   0.2735631847   0.0000000000   0.0000000000
   0.2734343885   0.0000000000   0.0000000000
   0.2733054104   0.0000000000   0.0000000000
   0.2731762503   0.0000000000   0.0000000000
   0.2730469073   0.0000000000   0.0000000000
   0.2729173809   0.0000000000   0.0000000000
   0.2727876706   0.0000000000   0.0000000000
   0.2726577756   0.0000000000   0.0000000000
   0.2725276954   0.0000000000   0.0000000000
   0.2723974295   0.0000000000   0.0000000000
   0.2722669771   0.0000000000   0.0000000000
   0.2721363378   0.0000000000   0.0000000000
   0.2720055107   0.0000000000   0.0000000000
   0.2718744954   0.0000000000   0.0000000000
   0.2717432913   0.0000000000   0.0000000000
   0.2716118977   0.0000000000   0.0000000000
   0.2714803141   0.0000000000   0.0000000000
   0.2713485396   0.0000000000   0.0000000000
   0.2712165737   0.0000000000   0.0000000000
   0.2710844159   0.0000000000   0.0000000000
   0.2709520654   0.0000000000   0.0000000000
   0.2708195217   0.0000000000   0.0000000000
   0.2706867841   0.0000000000   0.0000000000
   0.2705538518   0.0000000000   0.0000000000
   0.2704207243   0.0000000000   0.0000000000
   0.2702874009   0.0000000000   0.0000000000
   0.2701538810   0.0000000000   0.0000000000
   0.2700201639   0.0000000000   0.0000000000
   0.2698862489   0.0000000000   0.0000000000
   0.2697521353   0.0000000000   0.0000000000
   0.2696178225   0.0000000000   0.0000000000
   0.2694833099   0.0000000000   0.0000000000
   0.2693485967   0.0000000000   0.0000000000
   0.2692136823   0.0000000000   0.0000000000
   0.2690785659   0.0000000000   0.0000000000
   0.2689432469   0.0000000000   0.0000000000
   0.2688077246   0.0000000000   0.0000000000
   0.2686719982   0.0000000000   0.0000000000
   0.2685360671   0.0000000000   0.0000000000
   0.2683999306   0.0000000000   0.0000000000
   0.2682635879   0.0000000000   0.0000000000
   0.2681270385   0.0000000000   0.0000000000
   0.2679902814   0.0000000000   0.0000000000
   0.2678533161   0.0000000000   0.0000000000
   0.2677161416   0.0000000000   0.0000000000
   0.2675787576   0.0000000000   0.0000000000
   0.2674411631   0.0000000000   0.0000000000
   0.2673033573   0.0000000000   0.0000000000
   0.2671653396   0.0000000000   0.0000000000
   0.2670271091   0.0000000000   0.0000000000
   0.2668886653   0.0000000000   0.0000000000
   0.2667500073   0.0000000000   0.0000000000
   0.2666111343   0.0000000000   0.0000000000
   0.2664720456   0.0000000000   0.0000000000
   0.2663327404   0.0000000000   0.0000000000
   0.2661932180   0.0000000000   0.0000000000
   0.2660534776   0.0000000000   0.0000000000
   0.2659135184   0.0000000000   0.0000000000
   0.2657733396   0.0000000000   0.0000000000
   0.2656329405   0.0000000000   0.0000000000
   0.2654923201   0.0000000000   0.0000000000
   0.2653514779   0.0000000000   0.0000000000
   0.2652104130   0.0000000000   0.0000000000
   0.2650691243   0.0000000000   0.0000000000
   0.2649276114   0.0000000000   0.0000000000
   0.2647858734   0.0000000000   0.0000000000
   0.2646439094   0.0000000000   0.0000000000
   0.2645017185   0.0000000000   0.0000000000
   0.2643593000   0.0000000000   0.0000000000
   0.2642166530   0.0000000000   0.0000000000
   0.2640737767   0.0000000000   0.0000000000
   0.2639306703   0.0000000000   0.0000000000
   0.2637873329   0.0000000000   0.0000000000
   0.2636437637   0.0000000000   0.0000000000
   0.2634999616   0.0000000000   0.0000000000
   0.2633559261   0.0000000000   0.0000000000
   0.2632116562   0.0000000000   0.0000000000
   0.2630671510   0.0000000000   0.0000000000
   0.2629224096   0.0000000000   0.0000000000
   0.2627774312   0.0000000000   0.0000000000
   0.2626322147   0.0000000000   0.0000000000
   0.2624867596   0.0000000000   0.0000000000
   0.2623410647   0.0000000000   0.0000000000
   0.2621951291   0.0000000000   0.0000000000
   0.2620489520   0.0000000000   0.0000000000
   0.2619025324   0.0000000000   0.0000000000
   0.2617558695   0.0000000000   0.0000000000
   0.2616089624   0.0000000000   0.0000000000
   0.2614618100   0.0000000000   0.0000000000
   0.2613144115   0.0000000000   0.0000000000
   0.2611667659   0.0000000000   0.0000000000
   0.2610188723   0.0000000000   0.0000000000
   0.2608707298   0.0000000000   0.0000000000
   0.2607223372   0.0000000000   0.0000000000
   0.2605736938   0.0000000000   0.0000000000
   0.2604247986   0.0000000000   0.0000000000
   0.2602756505   0.0000000000   0.0000000000
   0.2601262485   0.0000000000   0.0000000000
   0.2599765918   0.0000000000   0.0000000000
   0.2598266793   0.0000000000   0.0000000000
   0.2596765100   0.0000000000   0.0000000000
   0.2595260829   0.0000000000   0.0000000000
   0.2593753970   0.0000000000   0.0000000000
   0.2592244514   0.0000000000   0.0000000000
   0.2590732449   0.0000000000   0.0000000000
   0.2589217765   0.0000000000   0.0000000000
   0.2587700453   0.0000000000   0.0000000000
   0.2586180501   0.0000000000   0.0000000000
   0.2584657899   0.0000000000   0.0000000000
   0.2583132637   0.0000000000   0.0000000000
   0.2581604703   0.0000000000   0.0000000000
   0.2580074089   0.0000000000   0.0000000000
   0.2578540782   0.0000000000   0.0000000000
   0.2577004772   0.0000000000   0.0000000000
   0.2575466048   0.0000000000   0.0000000000
   0.2573924599   0.0000000000   0.0000000000
   0.2572380414   0.0000000000   0.0000000000
   0.2570833482   0.0000000000   0.0000000000
   0.2569283792   0.0000000000   0.0000000000
   0.2567731332   0.0000000000   0.0000000000
   0.2566176092   0.0000000000   0.0000000000
   0.2564618061   0.0000000000   0.0000000000
   0.2563057225   0.0000000000   0.0000000000
   0.2561493575   0.0000000000   0.0000000000
   0.2559927098   0.0000000000   0.0000000000
   0.2558357783   0.0000000000   0.0000000000
   0.2556785618   0.0000000000   0.0000000000
   0.2555210592   0.0000000000   0.0000000000
   0.2553632691   0.0000000000   0.0000000000
   0.2552051906   0.0000000000   0.0000000000
   0.2550468224   0.0000000000   0.0000000000
   0.2548881631   0.0000000000   0.0000000000
   0.2547292117   0.0000000000   0.0000000000
   0.2545699669   0.0000000000   0.0000000000
   0.2544104274   0.0000000000   0.0000000000
   0.2542505920   0.0000000000   0.0000000000
   0.2540904595   0.0000000000   0.0000000000
   0.2539300286   0.0000000000   0.0000000000
   0.2537692980   0.0000000000   0.0000000000
   0.2536082666   0.0000000000   0.0000000000
   0.2534469329   0.0000000000   0.0000000000
   0.2532852957   0.0000000000   0.0000000000
   0.2531233536   0.0000000000   0.0000000000
   0.2529611054   0.0000000000   0.0000000000
   0.2527985498   0.0000000000   0.0000000000
   0.2526356854   0.0000000000   0.0000000000
   0.2524725109   0.0000000000   0.0000000000
   0.2523090249   0.0000000000   0.0000000000
   0.2521452261   0.0000000000   0.0000000000
   0.2519811131   0.0000000000   0.0000000000
   0.2518166846   0.0000000000   0.0000000000
   0.2516519392   0.0000000000   0.0000000000
   0.2514868753   0.0000000000   0.0000000000
   0.2513214917   0.0000000000   0.0000000000
   0.2511557871   0.0000000000   0.0000000000
   0.2509897599   0.0000000000   0.0000000000
   0.2508234085   0.0000000000   0.0000000000
   0.2506567319   0.0000000000   0.0000000000
   0.2504897282   0.0000000000   0.0000000000
   0.2503223962   0.0000000000   0.0000000000
   0.2501547345   0.0000000000   0.0000000000
   0.2499867413   0.0000000000   0.0000000000
   0.2498184154   0.0000000000   0.0000000000
   0.2496497552   0.0000000000   0.0000000000
   0.2494807591   0.0000000000   0.0000000000
   0.2493114257   0.0000000000   0.0000000000
   0.2491417534   0.0000000000   0.0000000000
   0.2489717406   0.0000000000   0.0000000000
   0.2488013858   0.0000000000   0.0000000000
   0.2486306875   0.0000000000   0.0000000000
   0.2484596440   0.0000000000   0.0000000000
   0.2482882538   0.0000000000   0.0000000000
   0.2481165153   0.0000000000   0.0000000000
   0.2479444267   0.0000000000   0.0000000000
   0.2477719866   0.0000000000   0.0000000000
   0.2475991932   0.0000000000   0.0000000000
   0.2474260449   0.0000000000   0.0000000000
   0.2472525401   0.0000000000   0.0000000000
   0.2470786771   0.0000000000   0.0000000000
   0.2469044541   0.0000000000   0.0000000000
   0.2467298695   0.0000000000   0.0000000000
   0.2465549216   0.0000000000   0.0000000000
   0.2463796087   0.0000000000   0.0000000000
   0.2462039289   0.0000000000   0.0000000000
   0.2460278805   0.0000000000   0.0000000000
   0.2458514619   0.0000000000   0.0000000000
   0.2456746711   0.0000000000   0.0000000000
   0.2454975065   0.0000000000   0.0000000000
   0.2453199662   0.0000000000   0.0000000000
   0.2451420482   0.0000000000   0.0000000000
   0.2449637510   0.0000000000   0.0000000000
   0.2447850725   0.0000000000   0.0000000000
   0.2446060110   0.0000000000   0.0000000000
   0.2444265645   0.0000000000   0.0000000000
   0.2442467312   0.0000000000   0.0000000000
   0.2440665091   0.0000000000   0.0000000000
   0.2438858963   0.0000000000   0.0000000000
   0.2437048909   0.0000000000   0.0000000000
   0.2435234909   0.0000000000   0.0000000000
   0.2433416944   0.0000000000   0.0000000000
   0.2431594994   0.0000000000   0.0000000000
   0.2429769039   0.0000000000   0.0000000000
   0.2427939058   0.0000000000   0.0000000000
   0.2426105032   0.0000000000   0.0000000000
   0.2424266939   0.0000000000   0.0000000000
   0.2422424759   0.0000000000   0.0000000000
   0.2420578472   0.0000000000   0.0000000000
   0.2418728057   0.0000000000   0.0000000000
   0.2416873491   0.0000000000   0.0000000000
   0.2415014754   0.0000000000   0.0000000000
   0.2413151824   0.0000000000   0.0000000000
   0.2411284681   0.0000000000   0.0000000000
   0.2409413300   0.0000000000   0.0000000000
   0.2407537661   0.0000000000   0.0000000000
   0.2405657743   0.0000000000   0.0000000000
   0.2403773521   0.0000000000   0.0000000000
   0.2401884974   0.0000000000   0.0000000000
   0.2399992078   0.0000000000   0.0000000000
   0.2398094811   0.0000000000   0.0000000000
   0.2396193150   0.0000000000   0.0000000000
   0.2394287071   0.0000000000   0.0000000000
   0.2392376550   0.0000000000   0.0000000000
   0.2390461563   0.0000000000   0.0000000000
   0.2388542088   0.0000000000   0.0000000000
   0.2386618099   0.0000000000   0.0000000000
   0.2384689572   0.0000000000   0.0000000000
   0.2382756484   0.0000000000   0.0000000000
   0.2380818807   0.0000000000   0.0000000000
   0.2378876518   0.0000000000   0.0000000000
   0.2376929592   0.0000000000   0.0000000000
   0.2374978001   0.0000000000   0.0000000000
   0.2373021723   0.0000000000   0.0000000000
   0.2371060730   0.0000000000   0.0000000000
   0.2369094996   0.0000000000   0.0000000000
   0.2367124494   0.0000000000   0.0000000000
   0.2365149198   0.0000000000   0.0000000000
   0.2363169081   0.0000000000   0.0000000000
   0.2361184116   0.0000000000   0.0000000000
   0.2359194275   0.0000000000   0.0000000000
   0.2357199531   0.0000000000   0.0000000000
   0.2355199856   0.0000000000   0.0000000000
   0.2353195222   0.0000000000   0.0000000000
   0.2351185600   0.0000000000   0.0000000000
   0.2349170962   0.0000000000   0.0000000000
   0.2347151278   0.0000000000   0.0000000000
   0.2345126519   0.0000000000   0.0000000000
   0.2343096657   0.0000000000   0.0000000000
   0.2341061661   0.0000000000   0.0000000000
   0.2339021500   0.0000000000   0.0000000000
   0.2336976146   0.0000000000   0.0000000000
   0.2334925566   0.0000000000   0.0000000000
   0.2332869730   0.0000000000   0.0000000000
   0.2330808607   0.0000000000   0.0000000000
   0.2328742165   0.0000000000   0.0000000000
   0.2326670373   0.0000000000   0.0000000000
   0.2324593198   0.0000000000   0.0000000000
   0.2322510607   0.0000000000   0.0000000000
   0.2320422568   0.0000000000   0.0000000000
   0.2318329048   0.0000000000   0.0000000000
   0.2316230013   0.0000000000   0.0000000000
   0.2314125430   0.0000000000   0.0000000000
   0.2312015264   0.0000000000   0.0000000000
   0.2309899480   0.0000000000   0.0000000000
   0.2307778044   0.0000000000   0.0000000000
   0.2305650920   0.0000000000   0.0000000000
   0.2303518074   0.0000000000   0.0000000000
   0.2301379469   0.0000000000   0.0000000000
   0.2299235068   0.0000000000   0.0000000000
   0.2297084835   0.0000000000   0.0000000000
   0.2294928734   0.0000000000   0.0000000000
   0.2292766725   0.0000000000   0.0000000000
   0.2290598772   0.0000000000   0.0000000000
   0.2288424835   0.0000000000   0.0000000000
   0.2286244878   0.0000000000   0.0000000000
   0.2284058859   0.0000000000   0.0000000000
   0.2281866740   0.0000000000   0.0000000000
   0.2279668481   0.0000000000   0.0000000000
   0.2277464041   0.0000000000   0.0000000000
   0.2275253379   0.0000000000   0.0000000000
   0.2273036455   0.0000000000   0.0000000000
   0.2270813225   0.0000000000   0.0000000000
   0.2268583648   0.0000000000   0.0000000000
   0.2266347682   0.0000000000   0.0000000000
   0.2264105282   0.0000000000   0.0000000000
   0.2261856405   0.0000000000   0.0000000000
   0.2259601007   0.0000000000   0.0000000000
   0.2257339043   0.0000000000   0.0000000000
   0.2255070467   0.0000000000   0.0000000000
   0.2252795235   0.0000000000   0.0000000000
   0.2250513300   0.0000000000   0.0000000000
   0.2248224614   0.0000000000   0.0000000000
   0.2245929129   0.0000000000   0.0000000000
   0.2243626800   0.0000000000   0.0000000000
   0.2241317575   0.0000000000   0.0000000000
   0.2239001407   0.0000000000   0.0000000000
   0.2236678246   0.0000000000   0.0000000000
   0.2234348041   0.0000000000   0.0000000000
   0.2232010740   0.0000000000   0.0000000000
   0.2229666293   0.0000000000   0.0000000000
   0.2227314647   0.0000000000   0.0000000000
   0.2224955748   0.0000000000   0.0000000000
   0.2222589543   0.0000000000   0.0000000000
   0.2220215979   0.0000000000   0.0000000000
   0.2217834999   0.0000000000   0.0000000000
   0.2215446548   0.0000000000   0.0000000000
   0.2213050570   0.0000000000   0.0000000000
   0.2210647006   0.0000000000   0.0000000000
   0.2208235800   0.0000000000   0.0000000000
   0.2205816892   0.0000000000   0.0000000000
   0.2203390222   0.0000000000   0.0000000000
   0.2200955731   0.0000000000   0.0000000000
   0.2198513356   0.0000000000   0.0000000000
   0.2196063036   0.0000000000   0.0000000000
   0.2193604708   0.0000000000   0.0000000000
   0.2191138309   0.0000000000   0.0000000000
   0.2188663773   0.0000000000   0.0000000000
   0.2186181034   0.0000000000   0.0000000000
   0.2183690026   0.0000000000   0.0000000000
   0.2181190683   0.0000000000   0.0000000000
   0.2178682934   0.0000000000   0.0000000000
   0.2176166710   0.0000000000   0.0000000000
   0.2173641941   0.0000000000   0.0000000000
   0.2171108556   0.0000000000   0.0000000000
   0.2168566481   0.0000000000   0.0000000000
   0.2166015643   0.0000000000   0.0000000000
   0.2163455967   0.0000000000   0.0000000000
   0.2160887377   0.0000000000   0.0000000000
   0.2158309795   0.0000000000   0.0000000000
   0.2155723144   0.0000000000   0.0000000000
   0.2153127342   0.0000000000   0.0000000000
