# design file for galaxy-experiment
# nDesignPoints  64  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0012714e+01   4.1639269e+01   7.0352942e-02
   1.0193489e+01   2.4649443e+01   1.6861059e-01
   1.0417154e+01   4.9819495e+01   1.7450058e-01
   1.0652240e+01   8.3163564e+01   8.1106996e-02
   1.0776042e+01   8.4565389e+01   1.1362600e-01
   1.1076851e+01   7.3710848e+01   4.7868883e-02
   1.1208400e+01   5.4601589e+01   1.0419725e-01
   1.1544292e+01   2.8036966e+01   1.4249798e-01
   1.1623538e+01   6.7100768e+01   6.3900624e-02
   1.1867410e+01   3.9483016e+01   3.8136128e-02
   1.2051162e+01   6.5057918e+01   1.9557590e-01
   1.2418358e+01   1.3786058e+01   1.3912856e-01
   1.2616761e+01   7.9097557e+01   1.3295402e-01
   1.2837804e+01   4.3170917e+01   7.4133002e-03
   1.2899147e+01   3.3156013e+01   7.5716255e-02
   1.3153252e+01   1.0737673e+02   1.3545816e-01
   1.3350551e+01   1.0494421e+02   2.6596259e-02
   1.3715192e+01   5.2663660e+01   1.2374326e-01
   1.3871836e+01   7.8080375e+01   1.6379783e-01
   1.4064563e+01   8.1998333e+01   8.8002827e-02
   1.4284364e+01   2.6895673e+01   1.9921540e-01
   1.4503876e+01   2.0849718e+01   3.3967627e-02
   1.4811331e+01   1.1009079e+02   9.7770193e-02
   1.5050764e+01   3.8119239e+01   9.2914786e-02
   1.5065915e+01   9.9126867e+01   4.5279112e-02
   1.5334620e+01   1.4224249e+01   1.6196992e-01
   1.5713336e+01   8.7685684e+01   1.9088579e-01
   1.5890498e+01   1.0306120e+02   2.3296657e-02
   1.6053358e+01   7.2496228e+01   1.7345225e-02
   1.6365402e+01   5.7805170e+01   4.2383305e-03
   1.6500895e+01   9.2195342e+01   1.2174635e-01
   1.6608474e+01   3.5989190e+01   3.0547912e-02
   1.6821711e+01   2.2654911e+00   1.0989150e-01
   1.7187121e+01   8.6227337e+01   8.7215987e-02
   1.7281125e+01   7.0696876e+00   1.7736436e-01
   1.7562898e+01   6.9211548e+01   1.1700396e-01
   1.7749136e+01   2.1972223e+01   9.8736922e-03
   1.8117254e+01   3.1078004e+01   1.2617703e-01
   1.8177547e+01   4.4652810e+01   5.0592666e-02
   1.8513339e+01   4.8669773e+01   1.8231809e-01
   1.8588893e+01   6.1551159e+01   8.2124712e-02
   1.8819729e+01   1.0004992e+02   1.5692533e-01
   5.0941114e+00   1.4356734e+00   1.9798449e-03
   5.4328382e+00   4.6091622e+01   6.7900957e-02
   5.6511234e+00   1.9019335e+01   6.0001462e-02
   5.7064167e+00   8.9630104e+00   9.5311981e-02
   6.0431828e+00   5.7670062e+01   1.8535280e-01
   6.2241377e+00   9.0349261e+01   1.0628263e-01
   6.5214361e+00   1.1101173e+02   1.7131169e-01
   6.5431231e+00   3.3282075e+01   1.2971047e-01
   6.8068663e+00   7.1041746e+01   1.4752568e-01
   7.0498289e+00   1.1310915e+01   3.6322776e-02
   7.3856105e+00   5.3674756e+00   1.5055257e-01
   7.4450881e+00   5.1746124e+01   4.3409062e-02
   7.6741003e+00   9.6846979e+01   1.2936985e-02
   7.9226073e+00   6.3397998e+01   7.4785234e-02
   8.1486102e+00   9.5951636e+01   5.3250416e-02
   8.2941010e+00   2.4080336e+01   5.8910513e-02
   8.6995351e+00   1.6289412e+01   1.8868846e-01
   8.8782810e+00   7.5560538e+01   1.5431046e-01
   8.9424783e+00   9.3560868e+01   1.7836712e-01
   9.2043341e+00   1.0536488e+02   1.4626336e-01
   9.4176219e+00   4.1219008e+00   1.0308008e-01
   9.7939317e+00   6.0991035e+01   2.1427208e-02
