# design file for galaxy-experiment
# nDesignPoints  64  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary   
   1.0217297e+01   6.5490311e+01   1.5296221e-01
   1.0393204e+01   6.4735710e+01   1.0162903e-01
   1.0578110e+01   8.8016991e+01   1.1745347e-01
   1.0873738e+01   1.0172373e+02   2.1884402e-02
   1.0989409e+01   7.6988819e+01   4.2302784e-02
   1.1143234e+01   2.1702718e+01   1.3878701e-01
   1.1541994e+01   3.3098372e+01   1.8939248e-01
   1.1600066e+01   9.8413985e+01   7.3480326e-02
   1.1847846e+01   1.0761166e+01   1.7220545e-01
   1.2200071e+01   4.2332153e+01   1.5592578e-01
   1.2248222e+01   2.7935686e+01   3.9163573e-02
   1.2610135e+01   7.5066271e+01   1.0390397e-01
   1.2805636e+01   5.0875541e+01   5.6353209e-02
   1.2997528e+01   7.8858404e+01   1.4156414e-01
   1.3158864e+01   3.3633667e+01   9.1512737e-02
   1.3408802e+01   2.9211245e+01   9.0645447e-03
   1.3706100e+01   3.8868725e+01   6.8239657e-02
   1.3760592e+01   4.6011923e+01   1.8092785e-01
   1.4044117e+01   6.6957261e+01   8.0449047e-02
   1.4343390e+01   2.3679107e+00   1.9636643e-01
   1.4449446e+01   9.2293672e+01   4.9875011e-02
   1.4742427e+01   8.0882029e+01   9.7748030e-02
   1.5022832e+01   5.7813686e+01   1.8286659e-02
   1.5260640e+01   4.4530928e+01   1.1984807e-01
   1.5432620e+01   1.0475569e+02   1.6799233e-01
   1.5599623e+01   1.0141791e+02   3.6150310e-02
   1.5900317e+01   1.5647614e+01   7.0449337e-02
   1.6112088e+01   2.0576424e+01   1.6154041e-01
   1.6308522e+01   1.2486687e+01   2.8889007e-02
   1.6449779e+01   9.3894257e+01   1.3522197e-01
   1.6755649e+01   5.0414967e+01   6.4316191e-02
   1.7024935e+01   8.2449656e+00   1.7661713e-01
   1.7068860e+01   2.3777723e+01   1.2893919e-01
   1.7256411e+01   7.8368182e+01   1.9109610e-01
   1.7498441e+01   4.7387287e+01   1.0749666e-01
   1.7704508e+01   3.0738785e+01   1.0005785e-02
   1.8077328e+01   7.0372721e+01   1.4920938e-01
   1.8291354e+01   5.9166054e+00   8.9994445e-02
   1.8511015e+01   1.0558618e+02   1.3266471e-01
   1.8656724e+01   1.1068910e+02   1.8587103e-01
   1.8872204e+01   8.9915719e+01   2.1635382e-02
   5.2117532e+00   6.3806687e-01   8.2561494e-04
   5.2604678e+00   3.5975043e+01   8.2806788e-02
   5.6206550e+00   1.7138203e+01   1.5586108e-02
   5.8405655e+00   6.1643267e+01   3.2163527e-02
   6.0152123e+00   8.2647320e+01   1.8393765e-01
   6.1154302e+00   5.4153480e+01   1.1214782e-01
   6.3879369e+00   9.7385712e+01   1.4460294e-01
   6.6304160e+00   7.2777451e+01   4.6325414e-03
   6.8877559e+00   1.0347621e+01   1.9760492e-01
   7.1418818e+00   8.6959574e+01   4.6873120e-02
   7.2491397e+00   5.4657515e+01   1.7157520e-01
   7.4120662e+00   1.8740648e+01   5.5451061e-02
   7.7359212e+00   4.1972133e+01   1.2263362e-01
   7.9688057e+00   8.4055777e+01   9.4911080e-02
   8.2314217e+00   6.0444650e+01   5.9946778e-02
   8.4277929e+00   4.5886492e+00   8.4741686e-02
   8.6540886e+00   3.7813723e+01   5.2485050e-02
   8.8234469e+00   6.8381012e+01   2.7320167e-02
   8.9780734e+00   5.7194150e+01   1.2789438e-01
   9.2960106e+00   2.6099989e+01   1.6312450e-01
   9.4200677e+00   1.0983310e+02   7.5624707e-02
   9.6634245e+00   9.4988652e+01   1.5936010e-01
   9.8349728e+00   1.0712738e+02   1.1327128e-01
