# nDesignPoints  64  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0152511e+01   2.1693465e+01   1.8189188e-01
   1.0250776e+01   8.9987609e+00   3.3873322e-02
   1.0673290e+01   7.1690864e+01   4.7792516e-02
   1.0883515e+01   5.9167650e+01   1.5813607e-01
   1.0946927e+01   5.9519574e+01   1.9133565e-01
   1.1225788e+01   4.1560559e+01   5.6858830e-02
   1.1468646e+01   1.0476988e+02   9.3456451e-02
   1.1737062e+01   5.6340168e+00   1.0785098e-01
   1.1944601e+01   8.4954015e+01   1.4937129e-01
   1.2173149e+01   2.7304546e+01   3.0659728e-02
   1.2433792e+01   5.1093746e+01   1.0366500e-02
   1.2526913e+01   6.2942106e+01   6.3163804e-02
   1.2872164e+01   1.0641199e+02   1.5481845e-01
   1.2938686e+01   2.4336015e+01   1.8826190e-01
   1.3117789e+01   8.8874002e+01   1.7654970e-01
   1.3450993e+01   1.0877142e+02   3.9536501e-02
   1.3570777e+01   5.7727272e+01   1.3327639e-01
   1.3951305e+01   3.8984640e+00   6.1531625e-02
   1.4013291e+01   9.2832483e+01   8.2466078e-02
   1.4208878e+01   4.3022782e+01   8.0064376e-02
   1.4444191e+01   7.5960920e+01   9.8400106e-02
   1.4689339e+01   5.3173341e+01   4.6607950e-02
   1.4904834e+01   3.2604217e+01   5.4227420e-02
   1.5163616e+01   7.2523283e+01   2.0812620e-02
   1.5359195e+01   8.0037466e+00   1.0378499e-01
   1.5628147e+01   2.5407200e+01   8.6894999e-02
   1.5859471e+01   8.2163473e+01   6.6303254e-02
   1.6143811e+01   9.1249281e+01   1.3683441e-01
   1.6363812e+01   9.8988586e+01   1.6742361e-01
   1.6390407e+01   4.8858210e+01   1.1326553e-01
   1.6803452e+01   3.9343360e+01   2.4566638e-02
   1.6812880e+01   7.5032120e+01   1.2298831e-01
   1.7137269e+01   1.9938898e+01   4.1751464e-02
   1.7385708e+01   1.1288698e+01   5.9062724e-03
   1.7529593e+01   1.7022623e+01   1.4163708e-01
   1.7777186e+01   3.4783781e+01   9.6038080e-02
   1.8011848e+01   9.0531835e+01   3.6158946e-02
   1.8329152e+01   9.9799138e+01   1.4399813e-01
   1.8512894e+01   5.0352035e+01   1.5265799e-01
   1.8661598e+01   1.0697433e+02   1.9764495e-01
   1.8994749e+01   7.8941207e+01   7.1116610e-02
   5.1886768e+00   6.6234376e-01   1.6526705e-03
   5.3219705e+00   3.0151359e+01   1.3782866e-01
   5.6484385e+00   5.5568398e+01   5.0036644e-02
   5.8600575e+00   1.3677033e+01   1.3801133e-02
   5.9804823e+00   2.9255336e+00   1.3084593e-01
   6.1518789e+00   7.7780555e+01   1.8637572e-01
   6.5020452e+00   4.5929063e+01   1.6479354e-01
   6.5941423e+00   6.7917339e+01   8.8723774e-02
   6.8643167e+00   2.9474863e+01   7.3818822e-02
   7.0275439e+00   6.9359838e+01   2.7153183e-02
   7.3795633e+00   9.7394977e+01   1.9524042e-01
   7.4148260e+00   9.5574260e+01   1.1043445e-01
   7.6373645e+00   6.4871144e+01   1.2155570e-01
   7.9963868e+00   3.7917321e+01   1.6314383e-02
   8.2490122e+00   1.4032404e+01   1.2589919e-01
   8.4099697e+00   1.1136401e+02   7.5849305e-02
   8.5809488e+00   4.3919006e+01   1.0282321e-01
   8.7790151e+00   1.9000411e+01   1.7833314e-01
   8.9808240e+00   6.4161946e+01   6.7966322e-03
   9.2640295e+00   1.0251595e+02   1.6969353e-01
   9.5529337e+00   8.2925321e+01   1.6238095e-01
   9.7396970e+00   3.5951157e+01   1.7435308e-01
   9.9824823e+00   8.6975646e+01   1.1619900e-01
