# nDesignPoints  200  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0015401e+01   6.0565170e+01   6.2594702e-02
   1.0082076e+01   6.5786783e+01   1.9881299e-01
   1.0157276e+01   4.6754183e+01   1.2078355e-01
   1.0214308e+01   7.1015882e+01   8.8670022e-02
   1.0284163e+01   1.0218420e+02   7.4656253e-03
   1.0379629e+01   3.3782824e+01   1.0340181e-01
   1.0434898e+01   5.7595959e+01   1.2157802e-01
   1.0514716e+01   8.4094651e+01   4.7723802e-02
   1.0551877e+01   5.9196638e+01   4.2531239e-02
   1.0647133e+01   7.4651773e+01   3.9647821e-02
   1.0671265e+01   7.4107340e+00   9.1177409e-02
   1.0741756e+01   3.0891963e+01   9.4319745e-03
   1.0863906e+01   5.1695350e+01   2.4213225e-03
   1.0917512e+01   4.4841480e+01   6.7110675e-02
   1.1008134e+01   9.3850848e+01   1.2806278e-01
   1.1033261e+01   1.7485250e+01   9.9513829e-02
   1.1119221e+01   3.2209140e+01   1.5610065e-01
   1.1188305e+01   2.1220467e+01   6.8035511e-02
   1.1248112e+01   2.5389239e+00   1.8997750e-01
   1.1325828e+01   6.1544167e+00   1.0940390e-01
   1.1373772e+01   1.0823372e+02   1.0563902e-01
   1.1451195e+01   8.2709113e+01   8.3568639e-02
   1.1525810e+01   7.4394942e+01   1.3325948e-01
   1.1640259e+01   8.0341263e+01   1.0196166e-01
   1.1702479e+01   6.0231718e+01   9.4309013e-02
   1.1786466e+01   1.2387486e+01   2.5637925e-02
   1.1834702e+01   9.2131009e+01   7.2451589e-02
   1.1896934e+01   5.1160956e+01   3.8216613e-02
   1.1947579e+01   3.0494753e+01   1.7490394e-01
   1.2003834e+01   6.7923086e+01   1.1167561e-01
   1.2118751e+01   1.5582342e+01   1.8141613e-01
   1.2152999e+01   8.8439436e+00   6.9477418e-02
   1.2232945e+01   6.5174854e+01   1.6107443e-01
   1.2292944e+01   7.3498098e+01   1.8887711e-01
   1.2374415e+01   3.8533539e+01   9.6975803e-02
   1.2436925e+01   9.8693836e+01   1.3707830e-02
   1.2530650e+01   7.2174310e+01   6.4120996e-02
   1.2599251e+01   4.1638044e+01   4.0642406e-02
   1.2662672e+01   7.9616411e+01   4.1206375e-03
   1.2759408e+01   2.8163066e+01   6.6720103e-02
   1.2779652e+01   1.0922126e+02   1.5925715e-01
   1.2879696e+01   5.4841370e+01   8.4213865e-02
   1.2967468e+01   6.6772254e+01   1.4340172e-01
   1.3006491e+01   1.8621520e+00   4.9715602e-02
   1.3065612e+01   1.0541490e+02   7.8555536e-02
   1.3131365e+01   2.0006014e+01   1.9605775e-01
   1.3208488e+01   8.8005800e+01   1.5887296e-01
   1.3287679e+01   8.5504543e+01   1.9416066e-01
   1.3370264e+01   4.0520398e+01   1.8009287e-01
   1.3463427e+01   6.6340856e+01   1.4219516e-02
   1.3534323e+01   8.1857830e+01   1.4247391e-01
   1.3596367e+01   6.3724627e+01   1.0723672e-01
   1.3630975e+01   1.0616989e+02   1.0419534e-01
   1.3721045e+01   1.0336871e+02   5.4065318e-02
   1.3768121e+01   9.8903538e+00   9.7787901e-02
   1.3828034e+01   1.9266184e+01   1.9265117e-02
   1.3920951e+01   1.0450339e+02   1.2690787e-01
   1.4017706e+01   2.5985625e+01   4.8803792e-02
   1.4081688e+01   4.4625143e+01   1.9911892e-01
   1.4112433e+01   5.5012378e+00   1.5458555e-01
   1.4208368e+01   2.7668109e+01   1.6602074e-01
   1.4248355e+01   1.0171597e+01   7.4935025e-02
   1.4364173e+01   4.9901297e+01   1.1413373e-01
   1.4425823e+01   2.3642517e+01   1.3600602e-01
   1.4477483e+01   7.6678276e+01   1.7795898e-01
   1.4521155e+01   2.5109384e+01   1.1522855e-01
   1.4623764e+01   2.9008457e+01   1.2319479e-02
   1.4699969e+01   4.7107449e+01   4.5592280e-02
   1.4774260e+01   3.9959855e+01   3.0406987e-02
   1.4823412e+01   1.1020117e+02   1.7334888e-01
   1.4870357e+01   4.3576450e+01   1.3755129e-01
   1.4982914e+01   4.6433442e+01   1.5618998e-02
   1.5061278e+01   7.5808741e+01   1.2997609e-01
   1.5117737e+01   6.8835310e+01   5.7112439e-03
   1.5166133e+01   9.7608884e+01   1.5726888e-01
   1.5273980e+01   4.7201125e+00   1.1295116e-01
   1.5340175e+01   4.4178504e+01   8.7032031e-02
   1.5417489e+01   1.3416065e+01   3.6582736e-02
   1.5446742e+01   5.6833381e+01   7.7867757e-02
   1.5563180e+01   9.5479804e+01   1.8244404e-02
   1.5599332e+01   8.3175771e+01   1.1728049e-01
   1.5664478e+01   1.5716719e+01   7.3770791e-02
   1.5761942e+01   1.1077936e+02   1.1641143e-01
   1.5848257e+01   8.1686140e+01   1.4755842e-01
   1.5883774e+01   6.4066746e+01   1.6700084e-01
   1.5930251e+01   1.4477226e+00   1.7259399e-01
   1.5996256e+01   5.5041710e+01   5.3325163e-02
   1.6083661e+01   4.9555629e+01   2.7700989e-02
   1.6184211e+01   7.1333892e+00   1.4514614e-01
   1.6245046e+01   7.0456734e+01   1.2582082e-01
   1.6281515e+01   8.1003859e+01   1.6248726e-03
   1.6409042e+01   1.7131315e+01   1.9742444e-01
   1.6421945e+01   7.3296385e+01   6.1119355e-02
   1.6518419e+01   9.1232294e+01   1.6547223e-01
   1.6618928e+01   1.0939594e+01   1.6890674e-01
   1.6666141e+01   3.5847362e+01   9.2922330e-02
   1.6700954e+01   9.8237943e+01   8.3936647e-03
   1.6781821e+01   6.1961823e+01   1.8481846e-01
   1.6849470e+01   3.3158918e+01   2.4006812e-02
   1.6934642e+01   8.8850279e+01   8.0329322e-02
   1.6999257e+01   7.8098656e+01   1.7995304e-01
   1.7108351e+01   4.2304700e+01   1.7672044e-01
   1.7150413e+01   1.4503111e+01   1.2451017e-01
   1.7241753e+01   1.1119412e+02   1.5542445e-01
   1.7302893e+01   1.0266037e+02   1.9160615e-01
   1.7375689e+01   6.2827921e+01   7.1331222e-02
   1.7399041e+01   5.8157254e+01   1.5016106e-01
   1.7461163e+01   8.7338228e+01   1.4462327e-01
   1.7568708e+01   7.1647760e+01   1.6349954e-02
   1.7622543e+01   2.6820104e+01   1.3062400e-01
   1.7682942e+01   4.5609651e+01   3.4803026e-02
   1.7798887e+01   2.8674928e+00   1.3233785e-01
   1.7825944e+01   2.5359958e+01   1.0217145e-01
   1.7938076e+01   1.3680673e+01   1.7096783e-01
   1.7966008e+01   8.6472334e+01   3.2982146e-02
   1.8077942e+01   8.5816219e+01   1.8219934e-01
   1.8147432e+01   1.0027554e+02   9.5759633e-02
   1.8229815e+01   8.3705506e+01   7.5983079e-02
   1.8295632e+01   7.7039506e+01   1.6961719e-01
   1.8344154e+01   5.5762486e+01   5.0052097e-02
   1.8433828e+01   2.6989910e+01   5.8772355e-02
   1.8453196e+01   1.0501733e+02   1.1732434e-02
   1.8528873e+01   7.9485119e+00   4.3231788e-02
   1.8590280e+01   7.2691150e+01   1.9269087e-01
   1.8656423e+01   8.9167076e+01   1.7885684e-02
   1.8786057e+01   1.8435196e+01   2.0914131e-02
   1.8846828e+01   6.2298502e+01   3.3749356e-02
   1.8905132e+01   7.8727117e+01   1.4871294e-01
   1.8951098e+01   5.3359641e+01   9.3288856e-02
   5.0448898e+00   4.3869811e-01   1.3791920e-04
   5.0840865e+00   1.0657115e+02   1.6300626e-01
   5.1786184e+00   7.5077716e+01   8.6729819e-02
   5.2446572e+00   9.2664784e+01   1.7849623e-01
   5.3122765e+00   5.9907200e+01   1.9391449e-01
   5.3733865e+00   6.9012256e+01   6.5139416e-02
   5.4383621e+00   9.5186508e+01   6.3939330e-02
   5.5475502e+00   9.1462574e+01   2.6767654e-02
   5.5704382e+00   2.9472272e+01   6.4880174e-03
   5.6688076e+00   9.5978783e+01   1.6003480e-01
   5.7004798e+00   9.9801896e+01   1.1834926e-01
   5.8161494e+00   4.2727613e+01   1.9073953e-01
   5.8710509e+00   6.9846543e+01   1.3402592e-01
   5.9646496e+00   1.0761213e+02   1.3156843e-01
   6.0061207e+00   1.1362666e+01   1.0046782e-01
   6.0735876e+00   1.2253425e+01   1.3820573e-01
   6.1725434e+00   5.3888456e+01   1.4611080e-01
   6.2530877e+00   3.2702274e+01   6.0639027e-02
   6.2797553e+00   2.3490275e+01   8.2150095e-02
   6.3448555e+00   6.7675417e+01   3.1234850e-02
   6.4145066e+00   2.1395862e+01   1.8657006e-01
   6.4969304e+00   2.2168952e+01   5.7540114e-02
   6.6011825e+00   9.4479783e+01   1.4139864e-01
   6.6195270e+00   7.9434182e+01   1.9551781e-01
   6.7248534e+00   6.4948820e+01   1.5236348e-01
   6.7872738e+00   9.0328227e+01   1.2340336e-01
   6.8352711e+00   7.7778080e+01   1.1015378e-01
   6.8925309e+00   3.4921666e+01   1.1369861e-01
