# nDesignPoints  200  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0075175e+01   5.8270592e+00   1.4937178e-01
   1.0113623e+01   1.3137112e+01   1.7198929e-01
   1.0199074e+01   1.5779098e+01   6.0512219e-02
   1.0257232e+01   4.1920260e+01   1.6071333e-01
   1.0330254e+01   9.7777153e+01   1.8992617e-01
   1.0410013e+01   5.8740771e+01   1.4816493e-01
   1.0466298e+01   4.6702791e+01   3.6593471e-02
   1.0572205e+01   4.2564331e+01   1.2784173e-02
   1.0640918e+01   1.1061122e+02   9.9496365e-02
   1.0681038e+01   7.2907232e+01   1.9479888e-01
   1.0796694e+01   9.0452606e+01   1.3384863e-01
   1.0819096e+01   5.4549175e+01   1.8573262e-01
   1.0913296e+01   1.0157085e+02   1.0953188e-02
   1.0988386e+01   8.4647528e+01   4.9142778e-02
   1.1080125e+01   1.6831265e+01   1.3620644e-01
   1.1137016e+01   5.6391204e+01   1.0696831e-01
   1.1171695e+01   3.3167327e+01   1.9604491e-01
   1.1235357e+01   4.1968495e+00   1.1303427e-01
   1.1356815e+01   6.2202119e+01   9.0539342e-02
   1.1425127e+01   9.2819224e+01   6.9814844e-02
   1.1441906e+01   5.5399779e+01   1.2621599e-01
   1.1560914e+01   7.5199520e+01   1.7257448e-02
   1.1646775e+01   7.1518416e+00   6.8997027e-02
   1.1676817e+01   9.3920270e+01   1.0275686e-01
   1.1725247e+01   2.0737798e+01   7.7116168e-02
   1.1816259e+01   1.0332648e+02   8.5729698e-02
   1.1924354e+01   3.4163842e+01   5.1744379e-02
   1.1939405e+01   1.9399422e+01   5.6794814e-02
   1.2045693e+01   8.3249089e+01   1.6947214e-01
   1.2114986e+01   9.5376608e+01   9.2979861e-03
   1.2161958e+01   1.0628624e+01   1.5621458e-01
   1.2273961e+01   6.4610987e+01   4.7458319e-02
   1.2314653e+01   7.4162431e+00   1.8359333e-01
   1.2362969e+01   6.9820713e+01   1.1035746e-01
   1.2487139e+01   3.3654545e+01   5.6685674e-03
   1.2495736e+01   8.4399021e+01   1.6533430e-02
   1.2568028e+01   6.8021974e+01   1.3534623e-01
   1.2657843e+01   7.2256346e+01   1.0718658e-01
   1.2767409e+01   1.5318898e+01   1.2424682e-01
   1.2772240e+01   6.3393940e+01   1.6233524e-01
   1.2868229e+01   9.2996353e+01   9.1474507e-02
   1.2913661e+01   5.1698232e+01   5.3534758e-02
   1.2986922e+01   1.0526986e+02   1.8068989e-01
   1.3114667e+01   1.0685524e+02   8.0189335e-02
   1.3139547e+01   7.4007148e+01   1.3763952e-02
   1.3206482e+01   1.1945232e+00   2.4018304e-02
   1.3270715e+01   1.0867588e+02   7.6805653e-03
   1.3360528e+01   3.2449824e+01   8.6620421e-02
   1.3439020e+01   8.7145668e+01   1.3732565e-01
   1.3535210e+01   6.2919181e-01   1.5894335e-01
   1.3569383e+01   2.0081449e+01   4.2885146e-02
   1.3613977e+01   5.8972709e+01   6.4781553e-02
   1.3731374e+01   3.1708019e+01   1.6191502e-01
   1.3796631e+01   4.4390226e+01   1.6312482e-01
   1.3833836e+01   8.6531291e+01   1.0058554e-01
   1.3957008e+01   7.6447900e+01   4.1324733e-02
   1.4010555e+01   1.4614982e+01   1.4149655e-01
   1.4056684e+01   5.7823254e+01   2.0398567e-02
   1.4135628e+01   3.0261142e+01   1.7910851e-01
   1.4204131e+01   6.1825594e+01   8.1112783e-02
   1.4258913e+01   5.3829935e+01   1.0576959e-01
   1.4327635e+01   9.2261058e+01   5.4685439e-02
   1.4448719e+01   4.5847725e+01   1.3812381e-01
   1.4503643e+01   1.0989248e+02   5.0376301e-02
   1.4535518e+01   3.6938473e+01   4.4716502e-02
   1.4607769e+01   2.8769054e+01   1.1911368e-01
   1.4681141e+01   5.5450292e+01   1.2922158e-01
   1.4737255e+01   9.9247576e+01   3.4749159e-02
   1.4856200e+01   1.0057535e+02   1.4269263e-02
