# nDesignPoints  200  nParams:  3 
# default run is the final run listed
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0022868e+01   4.7043790e+01   3.1641231e-02
   1.0096634e+01   1.1006844e+02   1.9832432e-01
   1.0114608e+01   1.7933341e+01   1.8165675e-01
   1.0200663e+01   6.9806348e+01   5.3983998e-02
   1.0281335e+01   4.6934116e+01   1.6090610e-01
   1.0346678e+01   1.0209851e+02   9.7615622e-03
   1.0420841e+01   4.2591348e+01   1.8629766e-01
   1.0490171e+01   3.4321872e+01   1.1542897e-01
   1.0583222e+01   7.8421831e+01   1.0858250e-01
   1.0607911e+01   1.9925373e+01   8.1695274e-02
   1.0710545e+01   6.6117729e+00   4.8199541e-02
   1.0801612e+01   9.0579320e+01   1.1064941e-01
   1.0865093e+01   6.6240471e+01   6.3874280e-03
   1.0935983e+01   4.1736066e+01   4.6287381e-02
   1.0952906e+01   6.1458118e+01   1.9297391e-01
   1.1072064e+01   1.0534683e+02   9.8442867e-02
   1.1090529e+01   2.2961875e+01   1.9743183e-01
   1.1200220e+01   5.7022703e+01   2.2239692e-02
   1.1239495e+01   5.3676723e+01   1.5803401e-01
   1.1310607e+01   7.3399973e+00   1.4866718e-01
   1.1429568e+01   1.0916168e+02   1.2101991e-01
   1.1446067e+01   2.3562489e+01   1.0968030e-01
   1.1512376e+01   7.9015194e+01   1.9365482e-01
   1.1628357e+01   7.7753508e+01   1.2326295e-02
   1.1650754e+01   3.1418486e+01   9.0899517e-02
   1.1723502e+01   9.6624757e+01   8.3644099e-02
   1.1821285e+01   9.4539295e+01   1.1768382e-02
   1.1869382e+01   6.9167491e+01   5.4026168e-02
   1.1936718e+01   5.0686396e+01   3.4166509e-02
   1.2001596e+01   5.5759489e+01   1.1407973e-01
   1.2104047e+01   3.3971980e+01   2.6487073e-02
   1.2141004e+01   5.4590898e+01   6.7495680e-02
   1.2217916e+01   1.0129739e+02   1.1764579e-01
   1.2322050e+01   6.6886265e+01   1.2876478e-01
   1.2352855e+01   9.7554331e+01   4.7126213e-02
   1.2463229e+01   8.5860622e+01   5.2175823e-02
   1.2494018e+01   3.2047221e+01   1.7796105e-01
   1.2621799e+01   4.3912906e+01   3.4264140e-03
   1.2692703e+01   1.2119834e+01   1.4162966e-01
   1.2715625e+01   6.0506740e+00   9.6284111e-02
   1.2773486e+01   5.7127643e+01   1.7438570e-01
   1.2877167e+01   7.6794785e+01   1.2632118e-01
   1.2974247e+01   1.0654011e+02   1.9669029e-01
   1.3001032e+01   9.5190645e+01   1.7179002e-01
   1.3115014e+01   1.0861111e+02   1.0349731e-01
   1.3189670e+01   1.3940439e+01   6.2907007e-02
   1.3239357e+01   7.5833668e+01   7.0155432e-02
   1.3303841e+01   7.6253469e+01   2.5213848e-02
   1.3353792e+01   4.2399083e+01   6.8730542e-02
   1.3412520e+01   9.8828728e+01   9.3058867e-02
   1.3526098e+01   1.0251493e+02   1.2332210e-01
   1.3550258e+01   9.0078270e+00   1.6329965e-02
