# design file for galaxy-experiment
# nDesignPoints  45  nParams:  3 
# min, max, default
#  5   19   10 
#  0   112   50 
#  0   0.2   0.05 
# Zr	Fescp	Fbary
   1.0254845e+01   8.6089516e+01   1.0048325e-01
   1.0574209e+01   5.2974788e+01   9.0370057e-02
   1.0786304e+01   7.1210310e+01   1.4928799e-01
   1.1032939e+01   6.8670791e+00   5.8305195e-02
   1.1423161e+01   5.2193776e+01   1.3753327e-02
   1.1733809e+01   8.7489719e+01   1.7972398e-01
   1.2058980e+01   2.5147405e+01   1.1225907e-02
   1.2190827e+01   9.9747045e+01   1.0301326e-01
   1.2617247e+01   4.8884952e+01   1.4084959e-01
   1.2907413e+01   8.0526056e+01   1.3223877e-01
   1.3324509e+01   6.6792827e+01   1.7142877e-01
   1.3705000e+01   7.7399120e+01   6.2500894e-02
   1.3872717e+01   1.0710982e+02   1.7699508e-01
   1.4151685e+01   2.2262574e+01   3.3585861e-02
   1.4551538e+01   9.7866109e+01   7.5267999e-02
   1.4661699e+01   4.2997611e+01   4.7552143e-02
   1.5202494e+01   6.1777555e+01   1.2013514e-01
   1.5274892e+01   4.1799481e+01   1.5444517e-01
   1.5642318e+01   8.9821360e+01   1.0921697e-01
   1.5994923e+01   7.5674706e+01   4.4386441e-02
   1.6386152e+01   3.2630903e+01   9.5164147e-02
   1.6756625e+01   6.7614079e+01   1.6548298e-01
   1.7037794e+01   1.2330286e+01   1.1389172e-01
   1.7165667e+01   1.2611314e+01   5.7066781e-02
   1.7692778e+01   3.8114117e+01   1.8366309e-01
   1.8048578e+01   3.5540099e+01   4.9041441e-02
   1.8218869e+01   1.1020918e+02   2.9788044e-02
   1.8459964e+01   8.4289244e+01   7.0128639e-02
   1.8829480e+01   3.0350361e+01   5.4810220e-03
   5.2213772e+00   8.8314396e-01   3.6765710e-04
   5.5337660e+00   1.5243802e+01   1.6334070e-01
   5.8208120e+00   2.9480338e+01   1.2638047e-01
   6.1355648e+00   7.3552264e+01   1.9536407e-01
   6.4906706e+00   2.6010181e+00   1.9164377e-02
   6.6238346e+00   1.0398155e+02   1.3546037e-01
   6.9390715e+00   1.0610148e+02   1.9781098e-01
   7.2179788e+00   1.7704788e+01   8.7432723e-02
   7.5578261e+00   5.6444456e+01   8.2402021e-02
   8.0240033e+00   5.9183880e+01   7.7233441e-02
   8.3433000e+00   4.4866763e+01   1.1894497e-01
   8.5605014e+00   9.6995281e+01   2.5929985e-02
   8.9644523e+00   6.2222322e+01   3.5833877e-02
   9.0622105e+00   2.2646676e+01   1.9059330e-01
   9.6181792e+00   8.4580981e+00   1.5783202e-01
   9.9103528e+00   9.3941754e+01   1.4638409e-01
